Tree,Lanzinger-Barcelo,PACT
0,0.02595548629760742,0.05857462882995605
1,0.02480168342590332,0.061957383155822755
2,0.02466118335723877,0.057354187965393065
3,0.02482738494873047,0.05875675678253174
4,0.02463698387145996,0.05745742321014404
5,0.024720215797424318,0.05748419761657715
6,0.02509434223175049,0.06270544528961182
7,0.024640440940856934,0.05806512832641601
8,0.02616283893585205,0.06154665946960449
9,0.025721979141235352,0.05868561267852783
10,0.025157690048217773,0.057679152488708495
11,0.024278545379638673,0.060861730575561525
12,0.024651288986206055,0.057032227516174316
13,0.024346399307250976,0.05667243003845215
14,0.02409231662750244,0.05728666782379151
15,0.02463033199310303,0.05719513893127441
16,0.02457137107849121,0.06062736511230469
17,0.024454665184020997,0.056916666030883786
18,0.0240908145904541,0.05774910449981689
19,0.024861812591552734,0.057962894439697266
20,0.024478387832641602,0.061127519607543944
21,0.0243349552154541,0.05717206001281738
22,0.024152755737304688,0.057109284400939944
