,Tree,Lanzinger-Barcelo,PACT
0,0,0.0715397834777832,0.19260692596435547
1,1,0.06981723308563233,0.2031123399734497
2,2,0.06565580368041993,0.19948978424072267
3,3,0.03564562797546387,0.1995260238647461
4,4,0.05363385677337647,0.20395829677581787
5,5,0.050099730491638184,0.1894981861114502
6,6,0.045064997673034665,0.20030782222747803
7,7,0.07016100883483886,0.20543248653411866
8,8,0.06582460403442383,0.19707820415496827
9,9,0.06045987606048584,0.20859735012054442
10,10,0.07703895568847656,0.19643774032592773
