Tree,Lanzinger-Barcelo,PACT
0,0.028159594535827635,0.06753177642822265
1,0.027638459205627443,0.06334266662597657
2,0.02756350040435791,0.062065744400024415
3,0.027747488021850585,0.06346259117126465
4,0.027073764801025392,0.06282336711883545
5,0.02739748954772949,0.06171925067901611
6,0.02759580612182617,0.06200239658355713
7,0.02847146987915039,0.06709654331207275
8,0.02865917682647705,0.06312417984008789
9,0.02738528251647949,0.06449089050292969
10,0.02715134620666504,0.06780538558959961
11,0.027242112159729003,0.06638760566711426
12,0.026893019676208496,0.061546707153320314
13,0.027310633659362794,0.0631556510925293
14,0.027202391624450685,0.06373105049133301
15,0.0274857759475708,0.06294023990631104
16,0.027152633666992186,0.06407418251037597
17,0.02714688777923584,0.0680464267730713
18,0.027392029762268066,0.06165492534637451
19,0.027429819107055664,0.06287283897399902
20,0.027188897132873535,0.06288676261901856
21,0.027719879150390626,0.06214282512664795
22,0.027548456192016603,0.06213788986206055
23,0.02758312225341797,0.06296818256378174
24,0.027234745025634766,0.06243166923522949
25,0.027855801582336425,0.062462353706359865
26,0.027455759048461915,0.06353552341461181
27,0.02718822956085205,0.06644372940063477
28,0.02731919288635254,0.06400325298309326
29,0.026866888999938963,0.06164050102233887
30,0.026926112174987794,0.061301660537719724
31,0.026792502403259276,0.06256465911865235
32,0.02671351432800293,0.06170909404754639
33,0.026976704597473145,0.06107993125915527
34,0.02707972526550293,0.06107749938964844
35,0.026581406593322754,0.061928749084472656
36,0.02653951644897461,0.06749753952026367
37,0.02731301784515381,0.0648122787475586
38,0.027211213111877443,0.06349849700927734
39,0.027139496803283692,0.06286981105804443
40,0.026813507080078125,0.0617443323135376
41,0.026729440689086913,0.0610931396484375
42,0.027446866035461426,0.06153204441070557
43,0.027266216278076173,0.061649203300476074
44,0.027167391777038575,0.06154155731201172
45,0.02673180103302002,0.06596753597259522
46,0.02707047462463379,0.061758112907409665
