,Tree,Lanzinger-Barcelo,PACT
0,0,0.11186251640319825,0.22061870098114014
1,1,0.11109890937805175,0.21609182357788087
2,2,0.11057183742523194,0.21428630352020264
3,3,0.10555038452148438,0.2159047842025757
4,4,0.10032107830047607,0.21840331554412842
5,5,0.08511006832122803,0.21597654819488527
6,6,0.10520658493041993,0.2096954345703125
7,7,0.1047705888748169,0.21068961620330812
8,8,0.10045845508575439,0.22004318237304688
9,9,0.1035391092300415,0.2183868408203125
10,10,0.09947805404663086,0.22298333644866944
11,11,0.10040249824523925,0.21545016765594482
12,12,0.0965625524520874,0.2191291093826294
13,13,0.08584878444671631,0.21643424034118652
14,14,0.07024343013763427,0.21545088291168213
15,15,0.08959848880767822,0.2136033296585083
16,16,0.08572084903717041,0.21467978954315187
17,17,0.08727433681488037,0.21699323654174804
18,18,0.08342390060424805,0.21369414329528807
19,19,0.08429486751556396,0.21170172691345215
20,20,0.08002526760101318,0.21525173187255858
21,21,0.10579345226287842,0.21769540309906005
22,22,0.10087170600891113,0.21734755039215087
23,23,0.10728492736816406,0.21600399017333985
24,24,0.10337858200073242,0.2181767463684082
25,25,0.10565071105957032,0.21664879322052003
26,26,0.09977929592132569,0.21514005661010743
27,27,0.09952678680419921,0.2191255807876587
28,28,0.09544696807861328,0.22116260528564452
29,29,0.034340429306030276,0.21249046325683593
30,30,0.052976131439208984,0.21486759185791016
31,31,0.048712754249572755,0.2144700527191162
32,32,0.07253694534301758,0.21528491973876954
33,33,0.0691979169845581,0.2168621301651001
34,34,0.06968975067138672,0.21298775672912598
35,35,0.06500205993652344,0.21563210487365722
36,36,0.060317373275756835,0.2149806022644043
37,37,0.08921918869018555,0.21071922779083252
38,38,0.08381788730621338,0.21344621181488038
39,39,0.08493444919586182,0.2118222236633301
40,40,0.08025901317596436,0.2182002305984497
41,41,0.07514357566833496,0.2150956869125366
42,42,0.10520846843719482,0.2104180097579956
43,43,0.10134367942810059,0.21571702957153321
44,44,0.09502789974212647,0.21574554443359376
45,45,0.09106910228729248,0.21937408447265624
46,46,0.10667943954467773,0.21372594833374023
